question_text,option1,option2,option3,option4,correct_answer,difficulty,subject
What is H2O?,Salt,Oxygen,Water,Sugar,3,easy,Chemistry
What is the chemical formula for salt?,NaCl,H2O,CO2,Fe2O3,1,medium,Chemistry
What is the symbol for gold?,Go,Gl,Au,Ag,3,medium,Chemistry
What is the symbol for iron?,Ir,Fe,In,I,2,easy,Chemistry
Which gas do plants absorb?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,3,hard,Chemistry
Which is a noble gas?,Oxygen,Helium,Nitrogen,Chlorine,2,easy,Chemistry
What force slows moving objects?,Gravity,Momentum,Friction,Acceleration,3,easy,Physics
What is the hardest natural substance?,Gold,Diamond,Iron,Copper,2,easy,Physics
What pulls objects to the ground?,Magnetism,Gravity,Friction,Pressure,2,easy,Physics
What is the Earth's primary energy source?,Moon,Stars,Sun,Wind,3,medium,Physics
What is the unit of force?,Joule,Newton,Watt,Volt,2,medium,Physics
What is the unit of electric current?,Volt,Ampere,Watt,Ohm,2,hard,Physics
What is 7 * 3?,10,21,24,30,2,easy,Math
What is 2 + 3?,4,5,6,7,2,easy,Math
What is 3 squared?,3,6,9,12,3,easy,Math
What is 8 + 9?,15,16,17,18,3,medium,Math
What is 10 ÷ 2?,2,5,10,20,2,medium,Math
What is 15 - 8?,5,7,9,10,2,hard,Math
